Sort in CN,Sort,Common name in CN,Common name,Latin name,
鱼类,fish,斑,Spotted gizzard shad,Clupanodon punctatus,
鱼类,fish,日本鳗鲡,Japanese eel,Anguilla japonica,
鱼类,fish,欧洲鳗鲡,European eel,Anguilla auguilla,
鱼类,fish,日本海马,Japanese seahorse,Hippocampus japonicus,
鱼类,fish,三斑海马,Flatfaced or longnosted seahorse,Hippocampus trimaculatus,
鱼类,fish,刺海马,Spiny seahorse,Hippocampus histrix,
鱼类,fish,大海马,Great seahorse,Hippocampus kelloggi,
鱼类,fish,管海马,Spotted seahorse,Hippocampus kuda,
鱼类,fish,虱目鱼,Milkfish,Chanos chanos,
鱼类,fish,花鲈,Japanese sea perch,Lateolabrax japonicus,
鱼类,fish,梭鱼,So-iuy mullet,Mugil soiuy,
鱼类,fish,鲻,Grey Mullet,Mugil cephalus,
鱼类,fish,日本黄姑鱼,Japanese croaker,Nibea japonica,
鱼类,fish,条纹狼鲈,Stripped bass,Morone saxatilis,
鱼类,fish,美国大口胭脂鱼,Bigmouth buffalo,Ictiobus cyprinellus,
鱼类,fish,大黄鱼,Large yellow croaker,Larimichthys crocea,
鱼类,fish,乌塘鳢,Chinese gudgeon,Bostrichthys sinensis,
鱼类,fish,大弹涂鱼,Mudskipper,Boleophthalmus pectinirostris,
鱼类,fish,军曹鱼,Black kingfish,Rachycentron canadum,
鱼类,fish,鱼,Japanese amberjack,Seriola quinqueradiata,
鱼类,fish,真鲷,Red sea bream,Pagrosomus major,
鱼类,fish,黑鲷,Black sea bream,Acanthopagrus schlegelii ,Sparus macrocephalus
鱼类,fish,黄鳍鲷,Yellow-fin sea bream,Acanthopagrus latus,
鱼类,fish,美国红鱼,Red drum,Sciaenops ocellatus,
鱼类,fish,红鳍东方,Japanese pufferfish,Takifugu rubripes,
鱼类,fish,暗纹东方,Pufferfish,Takifugu obscurus,
鱼类,fish,黄鳍东方,Yellowfin pufferfish,Takifugu xanthopterus,
鱼类,fish,大菱鲆,Turbot,Scophthalmus maximus,
鱼类,fish,牙鲆,Flounder,Paralichthys olivaceus,
鱼类,fish,半滑舌鳎,Tongue sole,Cynoglossus semilaevis,
鱼类,fish,青石斑鱼,Banded grouper,Epinephelus awoara,
鱼类,fish,鲑点石斑鱼,Red cod,Epinephelus trimaculatus,
鱼类,fish,白星石斑鱼,Edgeblack grouper,Epinephelus summana,
鱼类,fish,蜂巢石斑鱼,Mottled grouper,Epinephelus merra bloch,
鱼类,fish,小齿石斑鱼,Smalltooth grouper,Epinephelus microdon,
鱼类,fish,宽带石斑鱼,Striped grouper,Epinephelus latifasciatus,
鱼类,fish,云纹石斑鱼,Kelp grouper,Epinephelus moara,
鱼类,fish,宝石石斑鱼,Areolate grouper,Epinephelus areolatus,
鱼类,fish,六带石斑鱼,Sixbar grouper,Epinephelus sexfasciatus,
鱼类,fish,赤石斑鱼,Blacktip grouper,Epinephelus fasciatus,
鱼类,fish,赤点石斑鱼,Red spotted grouper,Epinephelus akaara,
甲壳类（虾）,Crustacean (shrimp),凡纳滨对虾,White-leg shrimp,Litopenaeus vannamei ,
甲壳类（虾）,Crustacean (shrimp),斑节对虾,Giant Tiger shrimp,Penaeus monodon,
甲壳类（虾）,Crustacean (shrimp),刀额新对虾,Greasy-back shrimp,Metapenaeus ensis,
甲壳类（虾）,Crustacean (shrimp),中国对虾,Chinese shrimp,Fenneropenaeus chinensis,
甲壳类（虾）,Crustacean (shrimp),日本对虾,Kuruma shrimp,Penaeus japonicus,
甲壳类（蟹）,Crustacean (crab),三疣梭子蟹,swimming crab,Portunus trituberculatus,
甲壳类（蟹）,Crustacean (crab),脊尾白虾,Ridgetail white prawn,Palaemon carincauda,
甲壳类（蟹）,Crustacean (crab),锯缘青蟹,Mud crab,Scylla serrata,
贝类,shellfish,西施舌,Coelomactra antiquata,mactra antiquata,
贝类,shellfish,紫石房蛤,Butter clam,Saxidomus purpuratus,
贝类,shellfish,近江牡蛎,Southern oyster,Ostrea rivularis Gould,
贝类,shellfish,褶牡蛎,Oyster,Ostrea plicatula Gmelin,
贝类,shellfish,魁蚶,Blood clam,Scapharca broughtonii,
贝类,shellfish,马氏珠母贝,Pearl oyster,Pinctada martensi,
贝类,shellfish,大珠母贝,Silver-lipped pearl oyster,Pinctada maxima,
贝类,shellfish,长牡蛎,Pacific oyster,Crassostrea gigas,
贝类,shellfish,皱纹盘鲍,Pacific abalone,Haliotis discus hannai,
贝类,shellfish,杂色鲍,Colourful abalone,Haliotis diversicolor,
贝类,shellfish,脉红螺,Oyster drill,Rapana venosa,
贝类,shellfish,泥蚶,Blood clam,Tegillarca granosa,
贝类,shellfish,毛蚶,Ark shell /clam,Scapharca subcrenata,
贝类,shellfish,栉江珧,Pen shell,pinna pectinata,
贝类,shellfish,栉孔扇贝,Farrer's scallop,Azumapecten (Chlamys) farreri,
贝类,shellfish,海湾扇贝,Bay scallop,Argopecten irradias,
贝类,shellfish,虾夷扇贝,Japanese scallop,Patinopecten yessoensis,
贝类,shellfish,华贵栉孔扇贝,Noble scallop,Chlamys nobilis,
贝类,shellfish,文蛤,Hard clam,Meretrix meretrix?,
贝类,shellfish,菲律宾蛤蜊,Manila clam,Ruditapes philippinarum,
贝类,shellfish,紫贻贝,Blue mussel,Mytilus galloprovincialis,
贝类,shellfish,厚壳贻贝,Sea mussel,Mytilus coruscus,
贝类,shellfish,蝾螺,Turban snail,Turbo cornutus,
贝类,shellfish,青蛤,,Cylina sinensis,
贝类,shellfish,缢蛏,Razor clam,Sinonovacula constricta,
藻类,algae,海带,Kelp,Laminaria japonica,
藻类,algae,裙带菜,Brown seaweed,Undaria pinnatifida Suringar,
藻类,algae,坛紫菜,Laver,Porphyra haitanensis,
藻类,algae,条斑紫菜,Edible purple laver,Porphyra yezoensis,
藻类,algae,真江蓠,Gracilaria asiatica,Gracilaria asiatica,
藻类,algae,扁江蓠,,Gracilaria textorii,
藻类,algae,海南江蓠,,Gracilaria hainanensis,
藻类,algae,细基江蓠,,Gracilaria teruistipitata,
藻类,algae,江蓠,,Gracilaria verrucosa,
藻类,algae,脆江蓠,Red alga,Gracilaria bursa-pastoris,
藻类,algae,麒麟菜,,Eucheuma muricatum,
藻类,algae,异形石花菜,Gelidium,Gelidium vagum,
藻类,algae,大石花菜,,Gelidium pacifium,
藻类,algae,小石花菜,Red alga,Gelidium divaricatum,
藻类,algae,匍匐石花菜,,Gelidium pusillum,
藻类,algae,细毛石花菜,Red alga,Gelidium crinale,
藻类,algae,羊栖菜,,Hizikia fusifarme,
藻类,algae,凤尾菜,Vegetable fern,Gracilaria eucheumoides,
藻类,algae,苔菜,,Enteromorpha prolifra,
藻类,algae,红毛藻,,Bangia fusco-prupruea,
其他类,other species,仿刺参,Sea cucumber,Apostichopus japonicus,
其他类,other species,虾夷马粪海胆,Sea urchin,Strongylocentrotus intermedius,
其他类,other species,光棘球海胆,Sea urchin,Strongylocentrotus nudus,
其他类,other species,紫海胆,Purple sea urchin,Anthocidaris crassispina,
其他类,other species,黄斑海蜇,Jellyfish,Rhopilema hispidum,
其他类,other species,沙海蜇,Jellyfish,Nemopilema nomurai,
其他类,other species,海蜇,Jellyfish,Rhopilema esculenta,
